,district,locality,latitude,longitude,id,zip_code,property_sub_type,property_type,price,nb_bedrooms,living_area,surface_of_the_plot,nb_facades,state_of_building,fireplace,equipped_kitchen,garden,garden_surface,terrace,terrace_surface,furnished,swimming_pool
3126,Courtrai,Lauwe,50.7931721,3.1852346,20224812,8930,Apartment,APARTMENT,145000,2,77,,,Good,0,0,0,,0,,0,0
3127,Courtrai,Kortrijk,50.8431153,3.2663758,11462088,8500,Apartment,APARTMENT,148000,3,103,,,To renovate,0,0,0,,1,5,0,0
3128,Courtrai,Kortrijk,50.8431153,3.2663758,11015589,8500,Apartment,APARTMENT,148000,3,103,,,To renovate,0,0,0,,1,5,0,0
3129,Roulers,Roeselare,50.94648060000001,3.1294001,11156152,8800,Apartment,APARTMENT,149500,1,51,,,Good,0,1,0,,0,,0,0
3130,Hal-Vilvorde,Beersel,50.7407952,4.3391677,11294232,1652,Service_Flat,APARTMENT,150000,1,40,,2,Good,0,0,0,,0,,0,0
3131,Bruxelles,Bruxelles,50.87680839999999,4.3427608,20049219,1020,Apartment,APARTMENT,159000,1,78,,2,Good,0,1,0,,1,10,0,0
3132,Anvers,HOBOKEN,51.186165,4.3699661,20125334,2660,Apartment,APARTMENT,159000,2,73,,2,Good,0,0,0,,0,,0,0
3133,Courtrai,Harelbeke,50.8575604,3.3156035,20058987,8530,Apartment,APARTMENT,159000,3,134,,,To renovate,0,0,0,,0,,0,0
3134,Anvers,Antwerpen,51.186252,4.3685056,20241011,2660,Apartment,APARTMENT,165000,1,60,,,As new,0,1,0,,1,9,0,0
3135,Anvers,Antwerpen,51.2083944,4.4756504,20293830,2100,Apartment,APARTMENT,169000,1,65,,2,Good,0,1,0,,0,,0,0
3136,Anvers,MERKSEM,51.24191829999999,4.4431669,20199935,2170,Apartment,APARTMENT,169000,2,81,,2,To renovate,0,0,0,,1,2,0,0
3137,Hasselt,LEOPOLDSBURG,51.114652,5.2501887,20224203,3970,Apartment,APARTMENT,169000,2,110,,,To be done up,0,0,0,,0,,0,0
3138,Ostende,Oostende,51.2197727,2.8899169,11422889,8400,Flat_Studio,APARTMENT,169000,,45,,3,As new,0,0,0,,1,7,0,0
3139,Hasselt,LEOPOLDSBURG,51.114652,5.2501887,20224201,3970,Apartment,APARTMENT,175000,2,92,,,To be done up,0,0,0,,0,,0,0
3140,Alost,Aalst,50.94522260000001,4.048009899999999,20204185,9300,Apartment,APARTMENT,175000,1,78,,,Good,0,1,0,,1,2,0,0
3141,Termonde,Buggenhout,51.0107734,4.1893137,20127038,9255,Apartment,APARTMENT,178000,1,77,,4,Good,0,1,1,760,0,,0,0
3142,Alost,Aalst,50.94522260000001,4.048009899999999,20203178,9300,Apartment,APARTMENT,179000,1,78,,,Good,0,1,0,,1,2,0,0
3143,Alost,Herzele,50.9007879,3.8795127,20231348,9550,Service_Flat,APARTMENT,180000,2,68,,,Good,0,0,0,,0,,0,0
3144,Bruxelles,LAKEN,50.90039729999999,4.3585138,20179488,1020,Apartment,APARTMENT,189000,2,80,,3,Good,0,0,0,,1,5,0,0
3145,Bruxelles,Ixelles,50.8105043,4.3906546,20229264,1050,Flat_Studio,APARTMENT,195000,,42,,4,Good,0,0,0,,1,12,0,0
3146,Anvers,HOBOKEN,51.1717852,4.3571056,20234840,2660,Apartment,APARTMENT,199000,3,88,,2,To be done up,0,0,0,,0,,0,0
3147,Anvers,HEMIKSEM,51.1487224,4.3424393,20307683,2620,Apartment,APARTMENT,199000,2,78,,3,,0,0,0,,1,4,0,0
3148,Liège,Liège,50.61963129999999,5.590085999999999,20324653,4020,Apartment,APARTMENT,89000,1,35,,2,,0,0,0,,1,6,0,0
3149,Saint-Nicolas,Sint-Niklaas,51.16558449999999,4.1349405,20344222,9100,Apartment,APARTMENT,185000,2,90,,,As new,0,0,0,,1,30,0,0
3150,Bruxelles,Sint-Joost-ten-Node,50.85218039999999,4.3729911,20367170,1210,Apartment,APARTMENT,149000,1,74,,2,,0,0,0,,0,,0,0
3151,Bruxelles,Molenbeek-Saint-Jean,,,20332817,1080,Ground_Floor,APARTMENT,100000,1,127,,,To be done up,0,0,0,,1,14,0,0
