Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province
160000,6280,HOUSE,TOWN_HOUSE,GOOD,2,115.0,0,1.0,1.0,427.0,2.0,0.0,0.0,Gerpinnes,Hainaut
312000,3500,APARTMENT,APARTMENT,AS_NEW,2,102.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Hasselt,Limburg
365000,1500,HOUSE,HOUSE,GOOD,4,150.0,0,1.0,0.0,245.0,3.0,0.0,0.0,Halle,Flemish Brabant
349000,5101,APARTMENT,APARTMENT,AS_NEW,2,110.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Namur,Namur
210000,2610,APARTMENT,APARTMENT,TO_BE_DONE_UP,3,81.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp
215000,9051,APARTMENT,APARTMENT,GOOD,1,73.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Gent,East Flanders
309000,9820,HOUSE,HOUSE,TO_RENOVATE,3,199.0,0,0.0,0.0,431.0,3.0,0.0,0.0,Merelbeke,East Flanders
348000,2650,APARTMENT,APARTMENT,JUST_RENOVATED,2,94.0,0,1.0,1.0,0.0,2.0,0.0,1.0,Edegem,Antwerp
95000,4540,HOUSE,HOUSE,GOOD,3,140.0,0,0.0,0.0,497.0,3.0,0.0,0.0,Amay,Liège
491100,8520,HOUSE,HOUSE,GOOD,3,173.0,0,1.0,0.0,181.0,3.0,0.0,0.0,Kuurne,Other
700000,1300,HOUSE,APARTMENT_BLOCK,GOOD,4,203.0,0,1.0,1.0,290.0,3.0,0.0,0.0,Wavre,Walloon Brabant
259000,8434,APARTMENT,APARTMENT,JUST_RENOVATED,2,76.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Middelkerke,Other
509000,9820,APARTMENT,APARTMENT,GOOD,3,117.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Merelbeke,East Flanders
340000,1180,APARTMENT,PENTHOUSE,AS_NEW,1,60.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Uccle,Brussels Capital
399000,8587,HOUSE,HOUSE,AS_NEW,3,169.0,1,1.0,0.0,406.0,4.0,0.0,0.0,Espierres-Helchin,Other
315000,8790,APARTMENT,APARTMENT,GOOD,2,86.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Waregem,Other
199000,4480,HOUSE,HOUSE,GOOD,3,150.0,0,1.0,0.0,485.0,3.0,0.0,0.0,Engis,Liège
249000,2830,HOUSE,HOUSE,GOOD,3,161.0,0,1.0,0.0,459.0,3.0,0.0,0.0,Willebroek,Antwerp
144000,8400,APARTMENT,APARTMENT,GOOD,2,54.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Oostende,Other
635000,1000,APARTMENT,LOFT,AS_NEW,3,263.0,1,1.0,0.0,0.0,3.0,1.0,1.0,Saint-Josse-ten-Noode,Brussels Capital
165000,8370,APARTMENT,APARTMENT,TO_RENOVATE,3,141.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Blankenberge,Other
237500,2610,APARTMENT,APARTMENT,GOOD,2,67.0,0,0.0,0.0,0.0,2.0,0.0,0.0,Antwerpen,Antwerp
372500,9308,HOUSE,HOUSE,GOOD,3,157.0,0,1.0,0.0,282.0,3.0,0.0,0.0,Aalst,East Flanders
245000,4420,APARTMENT,APARTMENT,GOOD,2,82.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Saint-Nicolas,Liège
195000,3000,APARTMENT,KOT,AS_NEW,1,18.0,1,0.0,0.0,0.0,2.0,0.0,1.0,Leuven,Flemish Brabant
265000,7940,APARTMENT,PENTHOUSE,GOOD,3,120.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Brugelette,Hainaut
319000,2800,HOUSE,HOUSE,JUST_RENOVATED,2,128.0,1,1.0,1.0,85.0,2.0,0.0,0.0,Mechelen,Antwerp
265000,7640,HOUSE,VILLA,GOOD,4,226.0,0,0.0,0.0,450.0,4.0,0.0,0.0,Antoing,Hainaut
